move_see,grip,stim,trialID,uniquetrial,ms_txt,grip_txt,daq,trial_number,jitter
1,7,1,171,19,VIEW,4 FINGERS,255,0,3.0
0,5,0,50,14,MOVE,2 FINGERS,32,1,1.5
1,3,2,132,11,VIEW,TRIPOD,255,2,3.0
0,2,0,20,6,MOVE,PINCH,4,3,3.0
1,1,1,111,4,VIEW,CLOSE,255,4,4.5
1,1,2,112,5,VIEW,CLOSE,255,5,3.0
0,3,0,30,9,MOVE,TRIPOD,8,6,3.0
1,0,2,102,2,VIEW,OPEN,255,7,1.5
1,2,1,121,7,VIEW,PINCH,255,8,1.5
0,4,0,40,12,MOVE,1 FINGER,16,9,1.5
1,2,2,122,8,VIEW,PINCH,255,10,3.0
1,0,1,101,1,VIEW,OPEN,255,11,3.0
0,7,0,70,18,MOVE,4 FINGERS,128,12,4.5
1,6,1,161,17,VIEW,3 FINGERS,255,13,3.0
0,0,0,0,0,MOVE,OPEN,1,14,3.0
1,3,1,131,10,VIEW,TRIPOD,255,15,3.0
1,5,1,151,15,VIEW,2 FINGERS,255,16,4.5
0,6,0,60,16,MOVE,3 FINGERS,64,17,1.5
1,4,1,141,13,VIEW,1 FINGER,255,18,3.0
0,1,0,10,3,MOVE,CLOSE,2,19,3.0
0,1,0,10,3,MOVE,CLOSE,2,20,3.0
1,4,1,141,13,VIEW,1 FINGER,255,21,3.0
0,0,0,0,0,MOVE,OPEN,1,22,3.0
1,0,2,102,2,VIEW,OPEN,255,23,1.5
1,5,1,151,15,VIEW,2 FINGERS,255,24,4.5
1,2,2,122,8,VIEW,PINCH,255,25,3.0
0,4,0,40,12,MOVE,1 FINGER,16,26,1.5
1,3,2,132,11,VIEW,TRIPOD,255,27,3.0
0,6,0,60,16,MOVE,3 FINGERS,64,28,1.5
1,2,1,121,7,VIEW,PINCH,255,29,1.5
1,7,1,171,19,VIEW,4 FINGERS,255,30,3.0
0,7,0,70,18,MOVE,4 FINGERS,128,31,4.5
1,6,1,161,17,VIEW,3 FINGERS,255,32,3.0
0,5,0,50,14,MOVE,2 FINGERS,32,33,1.5
1,0,1,101,1,VIEW,OPEN,255,34,3.0
0,2,0,20,6,MOVE,PINCH,4,35,3.0
1,1,1,111,4,VIEW,CLOSE,255,36,4.5
0,3,0,30,9,MOVE,TRIPOD,8,37,3.0
1,1,2,112,5,VIEW,CLOSE,255,38,3.0
1,3,1,131,10,VIEW,TRIPOD,255,39,3.0
1,1,2,112,5,VIEW,CLOSE,255,40,3.0
1,4,1,141,13,VIEW,1 FINGER,255,41,3.0
0,7,0,70,18,MOVE,4 FINGERS,128,42,4.5
1,2,2,122,8,VIEW,PINCH,255,43,3.0
1,6,1,161,17,VIEW,3 FINGERS,255,44,3.0
0,2,0,20,6,MOVE,PINCH,4,45,3.0
1,3,1,131,10,VIEW,TRIPOD,255,46,3.0
0,5,0,50,14,MOVE,2 FINGERS,32,47,1.5
1,0,2,102,2,VIEW,OPEN,255,48,1.5
0,3,0,30,9,MOVE,TRIPOD,8,49,3.0
1,7,1,171,19,VIEW,4 FINGERS,255,50,3.0
0,6,0,60,16,MOVE,3 FINGERS,64,51,1.5
1,5,1,151,15,VIEW,2 FINGERS,255,52,4.5
1,1,1,111,4,VIEW,CLOSE,255,53,4.5
0,4,0,40,12,MOVE,1 FINGER,16,54,1.5
1,3,2,132,11,VIEW,TRIPOD,255,55,3.0
0,0,0,0,0,MOVE,OPEN,1,56,3.0
1,2,1,121,7,VIEW,PINCH,255,57,1.5
1,0,1,101,1,VIEW,OPEN,255,58,3.0
0,1,0,10,3,MOVE,CLOSE,2,59,3.0
